time,co2
3/29/1958,316.1
4/5/1958,317.3
4/12/1958,317.6
4/19/1958,317.5
4/26/1958,316.4
5/3/1958,316.9
5/10/1958,
5/17/1958,317.5
5/24/1958,317.9
5/31/1958,
6/7/1958,
6/14/1958,
6/21/1958,
6/28/1958,
7/5/1958,315.8
7/12/1958,315.8
7/19/1958,315.4
7/26/1958,315.5
8/2/1958,315.6
8/9/1958,315.1
8/16/1958,315
8/23/1958,
8/30/1958,314.1
9/6/1958,313.5
9/13/1958,
9/20/1958,
9/27/1958,
10/4/1958,
10/11/1958,
10/18/1958,
10/25/1958,
11/1/1958,
11/8/1958,313
11/15/1958,313.2
11/22/1958,313.5
11/29/1958,314
12/6/1958,314.5
12/13/1958,314.4
12/20/1958,314.7
12/27/1958,315.2
1/3/1959,315.2
1/10/1959,315.5
1/17/1959,315.6
1/24/1959,315.8
1/31/1959,315.4
2/7/1959,
2/14/1959,316.9
2/21/1959,316.6
2/28/1959,316.6
3/7/1959,316.8
3/14/1959,
3/21/1959,316.7
3/28/1959,316.7
4/4/1959,317.7
4/11/1959,317.1
4/18/1959,317.6
4/25/1959,318.3
5/2/1959,318.2
5/9/1959,318.7
5/16/1959,318
5/23/1959,318.4
5/30/1959,
6/6/1959,318.5
6/13/1959,318.1
6/20/1959,317.8
6/27/1959,317.7
7/4/1959,316.8
7/11/1959,316.8
7/18/1959,316.4
7/25/1959,316.1
8/1/1959,315.6
8/8/1959,314.9
8/15/1959,
8/22/1959,315
8/29/1959,314.1
9/5/1959,314.4
9/12/1959,313.9
9/19/1959,313.5
9/26/1959,313.5
10/3/1959,313
10/10/1959,313.1
10/17/1959,313.4
10/24/1959,313.4
10/31/1959,314.1
11/7/1959,314.4
11/14/1959,314.8
11/21/1959,315.2
11/28/1959,315.1
12/5/1959,315
12/12/1959,315.6
12/19/1959,315.8
12/26/1959,315.7
1/2/1960,315.7
1/9/1960,316.4
1/16/1960,316.7
1/23/1960,316.5
1/30/1960,316.6
2/6/1960,316.6
2/13/1960,316.9
2/20/1960,317.4
2/27/1960,317
3/5/1960,316.9
3/12/1960,317.7
3/19/1960,318
3/26/1960,317.7
4/2/1960,318.6
4/9/1960,319.3
4/16/1960,319
4/23/1960,319
4/30/1960,319.7
5/7/1960,319.9
5/14/1960,319.8
5/21/1960,320
5/28/1960,320
6/4/1960,319.4
6/11/1960,320
6/18/1960,319.4
6/25/1960,319
7/2/1960,318.1
7/9/1960,318.6
7/16/1960,318.4
7/23/1960,317.9
7/30/1960,317.3
8/6/1960,316.6
8/13/1960,316.7
8/20/1960,315.1
8/27/1960,314.7
9/3/1960,314.7
9/10/1960,314.5
9/17/1960,314.2
9/24/1960,313.3
10/1/1960,313.6
10/8/1960,313.3
10/15/1960,313.9
10/22/1960,314.2
10/29/1960,314.2
11/5/1960,314.5
11/12/1960,315.1
11/19/1960,315.1
11/26/1960,315.4
12/3/1960,315.8
12/10/1960,316
12/17/1960,316.2
12/24/1960,316.4
12/31/1960,316.6
1/7/1961,316.7
1/14/1961,317
1/21/1961,317
1/28/1961,317
2/4/1961,317
2/11/1961,317.7
2/18/1961,317.9
2/25/1961,318
3/4/1961,318
3/11/1961,318.5
3/18/1961,318.9
3/25/1961,318.7
4/1/1961,319.4
4/8/1961,319.5
4/15/1961,318.9
4/22/1961,319.7
4/29/1961,319.6
5/6/1961,320.6
5/13/1961,320.4
5/20/1961,320.6
5/27/1961,320.3
6/3/1961,320
6/10/1961,320
6/17/1961,319.6
6/24/1961,319.4
7/1/1961,319.2
7/8/1961,319
7/15/1961,318.4
7/22/1961,317.1
7/29/1961,317.9
8/5/1961,317.9
8/12/1961,317.3
8/19/1961,316.7
8/26/1961,315.2
9/2/1961,315.2
9/9/1961,314.9
9/16/1961,314.5
9/23/1961,315
9/30/1961,315.6
10/7/1961,314.9
10/14/1961,315.4
10/21/1961,315.4
10/28/1961,315.7
11/4/1961,315.8
11/11/1961,315.7
11/18/1961,316.2
11/25/1961,316.5
12/2/1961,316.5
12/9/1961,317
12/16/1961,316.9
12/23/1961,317.1
12/30/1961,317.4
1/6/1962,317.9
1/13/1962,318.1
1/20/1962,318
1/27/1962,317.7
2/3/1962,318
2/10/1962,318.3
2/17/1962,318.9
2/24/1962,319.3
3/3/1962,319.2
3/10/1962,319.4
3/17/1962,319.9
3/24/1962,319.7
3/31/1962,320.2
4/7/1962,320.2
4/14/1962,321
4/21/1962,320.7
4/28/1962,320.3
5/5/1962,320.8
5/12/1962,320.7
